l_v [m],gamma = Sv/Sw (from Vv),gamma = Sv/Sw (from Cn_beta),Sv [m^2] (from Vv),Sv [m^2] (from Cn_beta)
0.15,0.2,0.26306541528254923,0.00754,0.009917566156152106
0.15117056856187291,0.1984513274336283,0.2610284043235029,0.0074816150442477865,0.009840770842996059
0.1523411371237458,0.19692645444566415,0.2590226975943432,0.0074241273326015374,0.009765155699306739
0.15351170568561873,0.1954248366013072,0.257047578985236,0.0073675163398692805,0.009690693727743397
0.15468227424749165,0.19394594594594594,0.25510235406318554,0.007311762162162162,0.009617358748182094
0.15585284280936454,0.19248927038626612,0.25318634925799,0.007256845493562232,0.009545125367026222
0.15702341137123746,0.19105431309904153,0.2512989110846077,0.0072027476038338655,0.00947396894788971
0.15819397993311035,0.1896405919661734,0.24943940540004933,0.007149450317124736,0.009403865583581859
0.15936454849498327,0.1882476390346275,0.24760721669301855,0.007096935991605456,0.0093347920693268
0.1605351170568562,0.186875,0.2458017474046319,0.0070451875,0.009266725877154621
0.16170568561872908,0.18552223371251295,0.24402241727864185,0.006994188210961738,0.009199645131404798
0.162876254180602,0.18418891170431212,0.24226866273967831,0.006943921971252567,0.009133528585285872
0.1640468227424749,0.1828746177370031,0.24053993629811077,0.006894373088685016,0.009068355598438776
0.16521739130434782,0.18157894736842106,0.23883570598020917,0.006845526315789474,0.009004106115453886
0.16638795986622074,0.18030150753768845,0.23715545478235844,0.006797366834170854,0.008940760645294912
0.16755852842809363,0.17904191616766468,0.23549868014815037,0.006749880239520958,0.008878300241585268
0.16872909698996655,0.1777998017839445,0.2338648934672415,0.006703052527254707,0.008816706483715004
0.16989966555183947,0.1765748031496063,0.2322536195949278,0.006656870078740157,0.008755961458728777
0.17107023411371236,0.17536656891495603,0.23066439639144345,0.006611319648093842,0.008696047743957418
0.17224080267558528,0.1741747572815534,0.22909677428004532,0.0065663883495145625,0.008636948390357708
0.1734113712374582,0.1729990356798457,0.2275503158229958,0.006522063645130183,0.00857864690652694
0.1745819397993311,0.17183908045977014,0.22602459531460406,0.006478333333333334,0.008521127243360573
