l_v [m],gamma = Sv/Sw (from Vv),gamma = Sv/Sw (from Cn_beta),Sv [m^2] (from Vv),Sv [m^2] (from Cn_beta)
0.15,0.2,0.26499550501500235,0.00754,0.009990330539065588
0.15117056856187291,0.1984513274336283,0.2629435486708596,0.0074816150442477865,0.009912971784891407
0.1523411371237458,0.19692645444566415,0.2609231262332131,0.0074241273326015374,0.009836801858992134
0.15351170568561873,0.1954248366013072,0.2589335163381886,0.0073675163398692805,0.00976179356594971
0.15468227424749165,0.19394594594594594,0.25697401945779147,0.007311762162162162,0.009687920533558738
0.15585284280936454,0.19248927038626612,0.25504395707988964,0.007256845493562232,0.009615157181911839
0.15702341137123746,0.19105431309904153,0.25314267092487447,0.0072027476038338655,0.009543478693867766
0.15819397993311035,0.1896405919661734,0.2512695221971006,0.007149450317124736,0.009472860986830691
0.15936454849498327,0.1882476390346275,0.24942389086931496,0.007096935991605456,0.009403280685773173
0.1605351170568562,0.186875,0.24760517499839282,0.0070451875,0.00933471509743941
0.16170568561872908,0.18552223371251295,0.24581279007079332,0.006994188210961738,0.009267142185668908
0.162876254180602,0.18418891170431212,0.24404616837623935,0.006943921971252567,0.009200540547784223
0.1640468227424749,0.1828746177370031,0.24230475840821322,0.006894373088685016,0.009134889391989637
0.16521739130434782,0.18157894736842106,0.24058802428993636,0.006845526315789474,0.0090701685157306
0.16638795986622074,0.18030150753768845,0.23889544522458003,0.006797366834170854,0.009006358284966667
0.16755852842809363,0.17904191616766468,0.23722651496852012,0.006749880239520958,0.008943439614313209
0.16872909698996655,0.1777998017839445,0.2355807413265185,0.006703052527254707,0.008881393948009747
0.16989966555183947,0.1765748031496063,0.23395764566777275,0.006656870078740157,0.008820203241675031
0.17107023411371236,0.17536656891495603,0.23235676246183495,0.006611319648093842,0.008759849944811177
0.17224080267558528,0.1741747572815534,0.23077763883345354,0.0065663883495145625,0.008700316984021197
0.1734113712374582,0.1729990356798457,0.2292198341354456,0.006522063645130183,0.008641587746906298
0.1745819397993311,0.17183908045977014,0.22768291953875205,0.006478333333333334,0.008583646066610951
0.175752508361204,0.17069457659372028,0.22616647763887454,0.006435185537583254,0.00852647620698557
0.1769230769230769,0.16956521739130437,0.2246701020779368,0.006392608695652174,0.008470062848338218
0.17809364548494983,0.16845070422535213,0.22319339718164988,0.006350591549295775,0.0084143910737482
0.17926421404682275,0.16735074626865673,0.22173597761050104,0.006309123134328358,0.008359446355915888
0.18043478260869564,0.16626506024096388,0.22029746802452008,0.0062681927710843376,0.008305214544524406
0.18160535117056856,0.16519337016574587,0.21887750276101023,0.006227790055248619,0.008251681854090085
0.18277591973244145,0.16413540713632208,0.21747572552466346,0.006187904849039342,0.008198834852279811
0.18394648829431437,0.1630909090909091,0.2160917890895065,0.006148527272727272,0.008146660448674395
0.1851170568561873,0.16205962059620596,0.21472535501215637,0.006109647696476964,0.008095145883958295
0.1862876254180602,0.16104129263913824,0.2133760933558861,0.006071256732495511,0.008044278719516905
0.1874581939799331,0.160035682426405,0.21204368242502866,0.006033345227475468,0.00799404682742358
0.188628762541806,0.15904255319148938,0.2107278085092705,0.005995904255319149,0.007944438380799498
0.18979933110367891,0.15806167400881058,0.20942816563740715,0.005958925110132158,0.007895441844530249
0.19096989966555183,0.15709281961471103,0.2081444553401551,0.005922399299474605,0.007847045966323848
0.19214046822742475,0.15613577023498693,0.2068763864216337,0.005886318537859007,0.00779923976809559
0.19331103678929765,0.15519031141868514,0.20562367473914975,0.005850674740484429,0.007752012537665945
0.19448160535117057,0.154256233877902,0.20438604299093474,0.005815460017196905,0.007705353820758239
0.19565217391304346,0.15333333333333335,0.20316322051150182,0.005780666666666667,0.007659253413283618
0.19682274247491638,0.15242141036533563,0.20195494307430512,0.005746287170773153,0.007613701353901302
0.1979933110367893,0.15152027027027026,0.2007609527013996,0.005712314189189188,0.007568687916842764
0.1991638795986622,0.15062972292191437,0.1995809974798129,0.005678740554156171,0.007524203604988945
0.2003344481605351,0.14974958263772956,0.19841483138435484,0.005645559265442404,0.007480239143190177
0.201505016722408,0.14887966804979255,0.19726221410660344,0.005612763485477179,0.007436785471818949
0.20267558528428092,0.148019801980198,0.19612291088981615,0.005580346534653465,0.007393833740546068
0.20384615384615384,0.1471698113207547,0.19499669236953002,0.005548301886792452,0.007351375302331281
0.20501672240802676,0.14632952691680262,0.19388333441962244,0.005516623164763458,0.007309401707619766
0.20618729096989966,0.14549878345498785,0.19278261800361488,0.005485304136253042,0.00726790469873628
0.20735785953177255,0.14467741935483874,0.19169432903101383,0.0054543387096774205,0.007226876204469221
0.20852842809364547,0.1438652766639936,0.1906182582184901,0.0054237209302325584,0.007186308334837076
0.2096989966555184,0.1430622009569378,0.18955420095570744,0.005393444976076555,0.00714619337603017
0.2108695652173913,0.1422680412371134,0.18850195717562024,0.005363505154639175,0.007106523785520883
0.2120401337792642,0.1414826498422713,0.18746133122906714,0.0053338958990536275,0.00706729218733583
0.21321070234113712,0.14070588235294118,0.1864321317634958,0.005304611764705882,0.007028491367483791
0.21438127090301,0.13993759750390017,0.18541417160566082,0.005275647425897036,0.0069901142695334125
0.21555183946488293,0.139177657098526,0.1844072676481436,0.00524699767261443,0.006952153990335014
