<pre>
1.00000,0.00105,0
0.95000,0.00672,0
0.90000,0.01207,0
0.80000,0.02187,0
0.70000,0.03053,0
0.60000,0.03803,0
0.50000,0.04412,0
0.40000,0.04837,0
0.30000,0.05002,0
0.25000,0.04952,0
0.20000,0.04782,0
0.15000,0.04455,0
0.10000,0.03902,0
0.07500,0.03500,0
0.05000,0.02962,0
0.02500,0.02178,0
0.01250,0.01578,0
0.00000,0.00000,0
0.01250,-0.01578,0
0.02500,-0.02178,0
0.05000,-0.02962,0
0.07500,-0.03500,0
0.10000,-0.03902,0
0.15000,-0.04455,0
0.20000,-0.04782,0
0.25000,-0.04952,0
0.30000,-0.05002,0
0.40000,-0.04837,0
0.50000,-0.04412,0
0.60000,-0.03803,0
0.70000,-0.03053,0
0.80000,-0.02187,0
0.90000,-0.01207,0
0.95000,-0.00672,0
1.00000,-0.00105,0
<\pre>
