mass_kg,chord_m,span_m,wing_area_m2,Vstall_m_s
0.1,0.02,0.5,0.01,11.632658506207278
0.1,0.02,0.525,0.0105,11.352312284793056
0.1,0.02,0.55,0.011000000000000001,11.091304699138155
0.1,0.02,0.575,0.0115,10.847509989655872
0.1,0.02,0.6,0.012,10.619115779340126
0.1,0.02,0.625,0.0125,10.404566071568253
0.1,0.02,0.65,0.013000000000000001,10.20251642872922
0.1,0.02,0.675,0.013500000000000002,10.011798370368629
0.1,0.02,0.7,0.013999999999999999,9.83139083032495
0.1,0.02,0.725,0.014499999999999999,9.660397076226735
0.1,0.02,0.75,0.015,9.498025897418072
0.1,0.02,0.775,0.015500000000000002,9.343576158707755
0.1,0.02,0.8,0.016,9.196424030636736
0.1,0.02,0.825,0.0165,9.056012364873924
0.1,0.02,0.8500000000000001,0.017,8.921841801478534
0.1,0.02,0.875,0.0175,8.793463283989876
0.1,0.02,0.9,0.018000000000000002,8.670471726306877
0.1,0.02,0.925,0.018500000000000003,8.5525006275875
0.1,0.02,0.95,0.019,8.439217471893587
0.1,0.02,0.9750000000000001,0.019500000000000003,8.330319780916362
0.1,0.02,1.0,0.02,8.225531712966541
0.1,0.02,1.025,0.020499999999999997,8.12460112107685
0.1,0.02,1.05,0.021,8.02729699872452
0.1,0.02,1.0750000000000002,0.021500000000000005,7.933407254226417
0.1,0.02,1.1,0.022000000000000002,7.842736764966809
0.1,0.02,1.125,0.0225,7.755105670804852
0.1,0.02,1.15,0.023,7.670347872674483
0.1,0.02,1.175,0.0235,7.588309707842927
0.1,0.02,1.2000000000000002,0.024000000000000004,7.508848777776472
0.1,0.02,1.225,0.0245,7.431832908263038
0.1,0.02,1.25,0.025,7.357139224509389
0.1,0.02,1.275,0.0255,7.284653326485287
0.1,0.02,1.3,0.026000000000000002,7.214268551921589
0.1,0.02,1.3250000000000002,0.026500000000000003,7.145885316160055
0.1,0.02,1.35,0.027000000000000003,7.079410519560084
0.1,0.02,1.375,0.0275,7.014757014441032
0.1,0.02,1.4,0.027999999999999997,6.951843124618016
0.1,0.02,1.425,0.0285,6.8905922115066405
0.1,0.02,1.4500000000000002,0.029000000000000005,6.83093228155462
0.1,0.02,1.475,0.029500000000000002,6.772795630427498
0.1,0.02,1.5,0.03,6.716118519949763
0.1,0.02325,0.5,0.011625,10.789032420847382
0.1,0.02325,0.525,0.01220625,10.529017526549051
0.1,0.02325,0.55,0.0127875,10.286938787435789
0.1,0.02325,0.575,0.013368749999999999,10.060824608700818
0.1,0.02325,0.6,0.013949999999999999,9.848994050921137
0.1,0.02325,0.625,0.014531249999999999,9.650003961785549
0.1,0.02325,0.65,0.015112500000000001,9.462607405267729
0.1,0.02325,0.675,0.01569375,9.285720641696402
