t_s,qw,qx,qy,qz,axw_mps2,ayw_mps2,azw_mps2,gx_rads,gy_rads,gz_rads,roll_deg,pitch_deg,yaw_deg,vx_mps,vy_mps,vz_mps,px_m,py_m,pz_m,still,zupt,rejected,jerk_mps3
28.662689208984375,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.969940185546875,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.176408767700195,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.53638458251953,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.876399993896484,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.06852722167969,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.3126335144043,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.54051971435547,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.77897644042969,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0753288269043,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.462066650390625,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.79806137084961,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.014320373535156,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.38729476928711,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.79728698730469,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0064811706543,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
