t_s,qw,qx,qy,qz,axw_mps2,ayw_mps2,azw_mps2,gx_rads,gy_rads,gz_rads,roll_deg,pitch_deg,yaw_deg,vx_mps,vy_mps,vz_mps,px_m,py_m,pz_m,still,zupt,rejected,jerk_mps3
200.80885314941406,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.00209045410156,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.2884063720703,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204.4831085205078,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205.8239288330078,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.05308532714844,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208.38088989257812,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209.5970458984375,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.8340301513672,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.12063598632812,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213.38104248046875,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214.64060974121094,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215.92091369628906,1.0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
